Series,Contestant,Best_Known_For_Taskmaster,Taskmaster_In_First_Wikipedia_Para,Taskmaster_In_Wikipedia_Intro
1,Romesh Ranganathan,NO,YES,YES
1,Frank Skinner,NO,NO,NO
1,Roisin Conaty,NO,NO,YES
1,Josh Widdicombe,NO,YES,YES
1,Tim Key,YES,YES,YES
2,Katherine Ryan,NO,NO,YES
2,Doc Brown,YES,NO,YES
2,Joe Wilkinson,YES,NO,NO
2,Jon Richardson,NO,NO,YES
2,Richard Osman,NO,NO,NO
3,Rob Beckett,NO,NO,YES
3,Al Murray,NO,NO,NO
3,Dave Gorman,NO,NO,NO
3,Sara Pascoe,NO,NO,YES
3,Paul Chowdhry,YES,NO,NO
4,Lolly Adefope,YES,NO,YES
4,Hugh Dennis,NO,NO,NO
4,Noel Fielding,NO,NO,YES
4,Mel Giedroyc,NO,NO,NO
4,Joe Lycett,NO,NO,YES
5,Nish Kumar,NO,NO,YES
5,Sally Phillips,NO,NO,NO
5,Bob Mortimer,NO,NO,NO
5,Aisling Bea,NO,NO,YES
5,Mark Watson,YES,NO,NO
6,Alice Levine,NO,NO,NO
6,Asim Chaudhry,NO,NO,NO
6,Liza Tarbuck,NO,NO,NO
6,Russell Howard,NO,NO,NO
6,Tim Vine,NO,NO,NO
7,James Acaster,NO,NO,YES
7,Jessica Knappett,NO,NO,NO
7,Kerry Godliman,NO,NO,NO
7,Phil Wang,YES,NO,YES
7,Rhod Gilbert,NO,NO,NO
8,Iain Stirling,NO,NO,YES
8,Joe Thomas,NO,NO,NO
8,Lou Sanders,YES,NO,YES
8,Paul Sinha,NO,NO,NO
8,Sian Gibson,NO,NO,NO
9,David Baddiel,NO,NO,NO
9,Ed Gamble,NO,YES,YES
9,Jo Brand,NO,NO,NO
9,Katy Wix,NO,NO,YES
9,Rose Matafeo,NO,NO,NO
10,Daisy May Cooper,NO,NO,YES
10,Johnny Vegas,NO,NO,NO
10,Katherine Parkinson,NO,NO,NO
10,Mawaan Rizwan,YES,NO,NO
10,Richard Herring,YES,NO,NO
11,Charlotte Ritchie,NO,NO,NO
11,Jamali Maddix,YES,YES,YES
11,Lee Mack,NO,NO,NO
11,Mike Wozniak,YES,NO,NO
11,Sarah Kendall,YES,NO,NO
12,Alan Davies,NO,NO,NO
12,Desiree Burch,YES,NO,NO
12,Guz Khan,NO,YES,YES
12,Morgana Robinson,YES,NO,NO
12,Victoria Coren Mitchell,NO,NO,NO
13,Ardal O'Hanlon,NO,NO,NO
13,Bridget Christie,NO,NO,NO
13,Chris Ramsey,YES,NO,YES
13,Judi Love,YES,NO,YES
13,Sophie Duker,YES,NO,YES
14,Dara O Briain,NO,NO,NO
14,Fern Brady,YES,NO,YES
14,John Kearns,YES,NO,YES
14,Munya Chawawa,YES,NO,YES
14,Sarah Millican,NO,NO,NO
15,Frankie Boyle,NO,NO,NO
15,Ivo Graham,YES,NO,YES
15,Jenny Eclair,NO,NO,YES
15,Kiell Smith-Bynoe,YES,NO,YES
15,Mae Martin,NO,NO,YES
16,Julian Clary,NO,NO,YES
16,Lucy Beaumont,YES,NO,YES
16,Sam Campbell,YES,NO,YES
16,Sue Perkins,NO,NO,NO
16,Susan Wokoma,NO,NO,YES
17,Joanne McNally,YES,NO,YES
17,John Robins,YES,NO,YES
17,Nick Mohammed,NO,NO,YES
17,Sophie Willan,YES,NO,YES
17,Steve Pemberton,NO,NO,NO
18,Andy Zaltzman,YES,NO,YES
18,Babatunde Aleshe,YES,NO,YES
18,Emma Sidi,YES,NO,YES
18,Jack Dee,NO,NO,NO
18,Rosie Jones,YES,NO,YES
19,Fatiha El-Ghorri,YES,NO,YES
19,Jason Mantzoukas,NO,NO,NO
19,Mathew Baynton,NO,NO,NO
19,Rosie Ramsey,YES,NO,YES
19,Stevie Martin,YES,NO,YES
20,Ania Magliano,YES,NO,YES
20,Maisie Adam,YES,NO,YES
20,Phil Ellis,YES,NO,YES
20,Reece Shearsmith,NO,NO,NO
20,Sanjeev Bhaskar,NO,NO,NO
